url,publication,bias,factual,country
https://mediabiasfactcheck.com/capitol-fax/,Capitol Fax,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/casper-star-tribune/,Casper Star-Tribune,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/chinook-observer/,Chinook Observer,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/christian-science-monitor/,Christian Science Monitor,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/cnet/,CNET,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/committee-for-economic-development/,Committee for Economic Development,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/concord-monitor/,Concord Monitor,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/constitution-daily/,Constitution Daily,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/consumer-reports/,Consumer Reports,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/countable-news/,Countable,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/courthouse-news-service/,Courthouse News Service,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/curiosity-com/,Curiosity.com,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/d-c-circuit-breaker/,D.C. Circuit Breaker,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/daily-journal-illinois/,Daily Journal (Illinois),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/daily-journal-missouri/,Daily Journal (Missouri),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/daily-maverick/,Daily Maverick,LEAST BIASED,HIGH,South Africa
https://mediabiasfactcheck.com/dayton-daily-news/,Dayton Daily News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/defense-news/,Defense News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/del-rio-news-herald-bias/,Del Rio News-Herald,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/denton-record-chronicle/,Denton Record-Chronicle,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/eau-claire-leader-telegram/,Eau Claire Leader-Telegram,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/el-nuevo-dia/,El Nuevo Dia,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/euronews/,Euronews,LEAST BIASED,HIGH,France
https://mediabiasfactcheck.com/financial-times/,Financial Times,LEAST BIASED,HIGH,United Kingdom
https://mediabiasfactcheck.com/foreign-affairs/,Foreign Affairs,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/fosters-daily-democrat/,Foster’s Daily Democrat,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/full-fact-uk/,Full Fact (UK),LEAST BIASED,HIGH,United Kingdom
https://mediabiasfactcheck.com/gainesville-sun/,Gainesville Sun,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/geek-com/,Geek.com,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/global-slavery-index/,Global Slavery Index,LEAST BIASED,HIGH,Australia
https://mediabiasfactcheck.com/globe-gazette-iowa/,Globe Gazette (Iowa),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/great-falls-tribune/,Great Falls Tribune,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/hanford-sentinel-bias-rating/,Hanford Sentinel,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/harvard-business-review/,Harvard Business Review,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/i24-news/,I24 News,LEAST BIASED,HIGH,Israel
https://mediabiasfactcheck.com/icitizen/,ICitizen,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/imediaethics/,iMediaEthics,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/inland-valley-daily-bulletin/,Inland Valley Daily Bulletin,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/investopedia/,Investopedia,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/japan-times/,Japan Times,LEAST BIASED,HIGH,Japan
https://mediabiasfactcheck.com/jewish-telegraphic-agency-jta/,Jewish Telegraphic Agency (JTA),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/journal-gazette-times-courier/,Journal Gazette,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/justice-denied/,Justice Denied,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/kaiser-family-foundation/,Kaiser Family Foundation,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/knowhere/,Knowhere,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/ktla/,KTLA,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/le-devoir/,Le Devoir,LEAST BIASED,HIGH,Canada
https://mediabiasfactcheck.com/las-cruces-sun-news/,Las Cruces Sun-News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/law-com/,Law.com,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/mental-floss/,Mental Floss,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/metrowest-daily-news/,MetroWest Daily News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/nationmaster/,NationMaster,LEAST BIASED,HIGH,None
https://mediabiasfactcheck.com/need-2-know/,Need 2 Know,LEAST BIASED,HIGH,None
https://mediabiasfactcheck.com/new-zealand-herald/,New Zealand Herald,LEAST BIASED,HIGH,New Zealand
https://mediabiasfactcheck.com/news-and-news/,News and News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/newsguard/,Newsguard,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/newsnet-yournewsnet-com/,NewsNet (YourNewsNet.com),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/norfolk-daily-news/,Norfolk Daily News,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/oyez-project/,Oyez Project,LEAST BIASED,HIGH,None
https://mediabiasfactcheck.com/pacific-daily-news/,Pacific Daily News,LEAST BIASED,HIGH,Guam
https://mediabiasfactcheck.com/patch/,Patch,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/political-wire/,Political Wire,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/politifact/,Politifact,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/poynter-institute/,Poynter Institute,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/procon-org/,ProCon.org,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/quad-city-times/,Quad City Times,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/rand-corporation/,Rand Corporation,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/recode/,Recode,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/san-marcos-daily-record/,San Marcos Daily Record,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/santa-maria-times/,Santa Maria Times,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/sarasota-herald-tribune/,Sarasota Herald-Tribune,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/shreveport-times/,Shreveport Times,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/snopes/,Snopes Bias Rating,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/south-bend-tribune/,South Bend Tribune,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/statesville-record-landmark/,Statesville Record & Landmark,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/statista/,Statista,LEAST BIASED,HIGH,Germany
https://mediabiasfactcheck.com/task-and-purpose/,Task and Purpose,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-auburn-citizen/,The Auburn Citizen,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-balance/,The Balance,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/battlefords-news-optimist/,None,LEAST BIASED,HIGH,Canada
https://mediabiasfactcheck.com/the-conversation/,The Conversation,LEAST BIASED,HIGH,Australia
https://mediabiasfactcheck.com/the-daily-chronicle/,The Daily Chronicle,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-diplomat-magazine/,The Diplomat Magazine,LEAST BIASED,HIGH,Japan
https://mediabiasfactcheck.com/the-economist/,The Economist,LEAST BIASED,HIGH,United Kingdom
https://mediabiasfactcheck.com/the-herald-news-massachusetts/,The Herald News (Massachusetts),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/journal-standard/,Journal Standard,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-macon-telegraph/,The Macon Telegraph,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-modesto-bee/,The Modesto Bee,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-republic-indiana/,The Republic (Indiana),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/republican-masslive-springfield-bias-rating/,The Republican (Masslive.com),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-town-talk/,The Town Talk,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/the-vindicator/,The Vindicator,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/united-press-international-upi/,United Press International (UPI),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/united-states-house-representatives-house-gov/,United States House of Representatives (House.gov),LEAST BIASED,HIGH,None
https://mediabiasfactcheck.com/vera-files/,Vera Files,LEAST BIASED,HIGH,Phillipines
https://mediabiasfactcheck.com/voice-of-america/,Voice of America,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/waco-tribune-herald-bias-credibility-rating/,Waco Tribune-Herald,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/washingtons-top-news-wtop/,Washington’s Top News (WTOP),LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/wikipedia/,Wikipedia,LEAST BIASED,HIGH,USA
https://mediabiasfactcheck.com/alliance-for-justice-afj/,Alliance for Justice (AFJ),LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/alt-news/,Alt News,LEFT BIAS,HIGH,India
https://mediabiasfactcheck.com/americablog/,AmericaBlog,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/angry-white-men/,Angry White Men,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/black-lives-matter/,Black Lives Matter,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/boston-review/,Boston Review,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/capital-main/,Capital & Main,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/center-for-media-and-democracy/,Center for Media and Democracy (PR Watch),LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/citizen-critics/,Citizen Critics,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/common-dreams/,Common Dreams,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/current-affairs-magazine/,Current Affairs Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/daily-beast/,Daily Beast,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/daily-dot/,Daily Dot,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/dead-state/,Dead State,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/deadspin/,Deadspin,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/democracy-now/,Democracy Now,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/detroit-metro-times/,Detroit Metro Times,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/die-hard-democrat/,Die Hard Democrat,LEFT BIAS,HIGH,None
https://mediabiasfactcheck.com/dissent-magazine/,Dissent Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/electoral-vote-com/,Electoral-Vote.com,LEFT BIAS,HIGH,Netherlands
https://mediabiasfactcheck.com/feminist-current/,Feminist Current,LEFT BIAS,HIGH,Canada
https://mediabiasfactcheck.com/gizmodo/,Gizmodo,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/global-voices/,Global Voices,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/gq-magazine/,GQ Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/grasping-reality-hands-bradford-delong/,Grasping Reality With Both Hands: Bradford DeLong,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/grit-post/,Grit Post,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/iowa-starting-line/,Iowa Starting Line,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/jacobin/,Jacobin,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/jezebel/,Jezebel,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/left-wing-nation/,Left Wing Nation,LEFT BIAS,HIGH,None
https://mediabiasfactcheck.com/little-green-footballs/,Little Green Footballs,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/media-matters/,Media Matters,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/meduza/,Meduza,LEFT BIAS,HIGH,Latvia
https://mediabiasfactcheck.com/new-statesman/,New Statesman,LEFT BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/new-york-magazine/,New York Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/new-yorker/,New Yorker,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/occupy-com/,Occupy.com,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/our-voice-ny/,Our Voice NY,LEFT BIAS,HIGH,None
https://mediabiasfactcheck.com/out-magazine/,Out Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/people-magazine/,People Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/popular-information/,Popular Information,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/rabble-ca/,Rabble.ca,LEFT BIAS,HIGH,Canada
https://mediabiasfactcheck.com/rantt-media/,Rantt Media,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/revere-press/,Revere Press,LEFT BIAS,HIGH,None
https://mediabiasfactcheck.com/rewire/,Rewire.news,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/salon/,Salon,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/seventeen/,Seventeen,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/slate/,Slate,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/sludge/,Sludge,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/socialistworker-org/,SocialistWorker.org,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/advocate/,The Advocate,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-american-prospect/,The American Prospect,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-canary-uk/,The Canary (UK),LEFT BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/daily-49er/,Daily 49er,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-indypendent/,The Indypendent,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-nation/,The Nation,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-palestine-chronicle/,The Palestine Chronicle,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-progressive/,The Progressive,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-root/,The Root,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-walrus/,The Walrus,LEFT BIAS,HIGH,Canada
https://mediabiasfactcheck.com/them-us/,Them.us,LEFT BIAS,HIGH,United States
https://mediabiasfactcheck.com/truthdig/,Truthdig,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/upworthy/,Upworthy,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/washingtonian-bias-credibility-rating/,Washingtonian,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/what-matters-news/,What Matters News,LEFT BIAS,HIGH,None
https://mediabiasfactcheck.com/yes-magazine/,Yes Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/z-magazine/,Z Magazine,LEFT BIAS,HIGH,USA
https://mediabiasfactcheck.com/972-magazine/,+972 Magazine,LEFT-CENTER BIAS,HIGH,Israel
https://mediabiasfactcheck.com/abc11-eyewitness-news/,ABC11 Eyewitness News,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/alan-guttmacher-institute/,Alan Guttmacher Institute,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/anniston-star/,Anniston Star,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/anti-defamation-league/,Anti-Defamation League (ADL),LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/apm-reports/,APM Reports,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/areo-magazine/,Areo Magazine,LEFT-CENTER BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/arkansas-times/,Arkansas Times,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/arms-control-association/,Arms Control Association,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/asian-correspondent/,Asian Correspondent,LEFT-CENTER BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/atlanta-journal-constitution/,Atlanta Journal-Constitution,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-atlantic/,The Atlantic,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/axios/,Axios,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/balkan-insight/,Balkan Insight,LEFT-CENTER BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/bangor-daily-news/,Bangor Daily News,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/battle-creek-enquirer/,Battle Creek Enquirer,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/bbc/,BBC,LEFT-CENTER BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/berkeleyside/,Berkeleyside,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/bing-news/,Bing News,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/boston-globe/,Boston Globe,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/brampton-guardian/,Brampton Guardian,LEFT-CENTER BIAS,HIGH,Canada
https://mediabiasfactcheck.com/brennan-center-for-justice/,Brennan Center for Justice,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/business-insider/,Business Insider,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/capital-gazette/,Capital Gazette,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/cbc-news-canadian-broadcasting/,CBC News (Canadian Broadcasting),LEFT-CENTER BIAS,HIGH,Canada
https://mediabiasfactcheck.com/cbs-news/,CBS News,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/center-for-international-policy/,Center for International Policy,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/central-news-agency-cna-focus-taiwan/,Central News Agency (CNA) / Focus Taiwan,LEFT-CENTER BIAS,HIGH,Taiwan
https://mediabiasfactcheck.com/channel-4-news-uk/,Channel 4 News (UK),LEFT-CENTER BIAS,HIGH,United Kingdom
https://mediabiasfactcheck.com/chicago-sun-times/,Chicago Sun-Times,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/citizen-truth/,Citizen Truth,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/cnbc/,CNBC,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/columbia-journalism-review/,Columbia Journalism Review,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/committee-investigate-russia/,Committee to Investigate Russia,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/commonwealth-fund/,Commonwealth Fund,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/connecticut-post/,Connecticut Post,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/corpus-christi-caller-times/,Corpus Christi Caller-Times,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/ct-mirror/,CT Mirror,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/daily-hampshire-gazette/,Daily Hampshire Gazette,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/dawn/,Dawn,LEFT-CENTER BIAS,HIGH,Pakistan
https://mediabiasfactcheck.com/dcreport-org/,DCReport.org,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/deadline-hollywood/,Deadline Hollywood,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/democrat-and-chronicle/,Democrat and Chronicle,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/denver-post/,Denver Post,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/denver-westword/,Denver Westword,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/dw-news/,DW News,LEFT-CENTER BIAS,HIGH,Germany
https://mediabiasfactcheck.com/econofact/,Econofact,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/economic-policy-institute/,Economic Policy Institute,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/entertainment-weekly/,Entertainment Weekly,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/factmyth/,Fact / Myth,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/fairness-accuracy-in-reporting-fair/,Fairness & Accuracy in Reporting (FAIR),LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/fairvote/,FairVote,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/fast-company-magazine/,Fast Company Magazine,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/fivethirtyeight/,FiveThirtyEight,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/foreign-policy-focus/,Foreign Policy in Focus,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/france-info/,None,LEFT-CENTER BIAS,HIGH,France
https://mediabiasfactcheck.com/fusion/,Fusion,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/global-citizen/,Global Citizen,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/global-news/,Global News,LEFT-CENTER BIAS,HIGH,Canada
https://mediabiasfactcheck.com/google-news/,Google News,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/gothamist/,Gothamist,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/government-accountability-project-gap/,Government Accountability Project (GAP),LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/greensboro-news-and-record/,Greensboro News and Record,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/gun-violence-archive/,Gun Violence Archive,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/harpers/,Harper’s Magazine,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-hartford-courant/,The Hartford Courant,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/heavy/,Heavy,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/None-news-network/,None News Network,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/honolulu-civil-beat/,Honolulu Civil Beat,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/honolulu-star-advertiser/,Honolulu Star-Advertiser,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/houston-chronicle/,Houston Chronicle,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/if-america-knew/,If Americans Knew,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/infobae/,None,LEFT-CENTER BIAS,HIGH,Argentina
https://mediabiasfactcheck.com/inside-edition/,Inside Edition,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/international-center-for-research-on-women/,International Center for Research on Women,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/the-interpreter-magazine/,(The) Interpreter Magazine,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/jackson-free-press/,Jackson Free Press,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/journal-of-politics-and-society/,Journal of Politics and Society,LEFT-CENTER BIAS,HIGH,None
https://mediabiasfactcheck.com/kansas-city-star/,Kansas City Star,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/kuow-npr/,KUOW NPR,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/la-presse/,La Presse,LEFT-CENTER BIAS,HIGH,Canada
https://mediabiasfactcheck.com/la-repubblica/,La Repubblica,LEFT-CENTER BIAS,HIGH,Italy
https://mediabiasfactcheck.com/la-times-los-angeles-times/,LA Times (Los Angeles Times),LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/mexico-daily-news/,Mexico Daily News,LEFT-CENTER BIAS,HIGH,Mexico
https://mediabiasfactcheck.com/migration-policy-institute/,Migration Policy Institute,LEFT-CENTER BIAS,HIGH,USA
https://mediabiasfactcheck.com/msn-com/,MSN.com (MSN News),LEFT-CENTER BIAS,HIGH,USA
