source,url,publication,bias,factualness,country
delrionewsherald.com,https://mediabiasfactcheck.com/del-rio-news-herald-bias/,Del Rio News-Herald,least_biased,high,USA
dentonrc.com,https://mediabiasfactcheck.com/denton-record-chronicle/,Denton Record-Chronicle,least_biased,high,USA
leadertelegram.com,https://mediabiasfactcheck.com/eau-claire-leader-telegram/,Eau Claire Leader-Telegram,least_biased,high,USA
elnuevodia.com,https://mediabiasfactcheck.com/el-nuevo-dia/,El Nuevo Dia,least_biased,high,USA
euronews.com,https://mediabiasfactcheck.com/euronews/,Euronews,least_biased,high,France
ft.com,https://mediabiasfactcheck.com/financial-times/,Financial Times,least_biased,high,United Kingdom
foreignaffairs.com,https://mediabiasfactcheck.com/foreign-affairs/,Foreign Affairs,least_biased,high,USA
fosters.com,https://mediabiasfactcheck.com/fosters-daily-democrat/,Foster’s Daily Democrat,least_biased,high,USA
fullfact.org,https://mediabiasfactcheck.com/full-fact-uk/,Full Fact (UK),least_biased,high,United Kingdom
gainesville.com,https://mediabiasfactcheck.com/gainesville-sun/,Gainesville Sun,least_biased,high,USA
geek.com,https://mediabiasfactcheck.com/geek-com/,Geek.com,least_biased,high,USA
globalslaveryindex.org,https://mediabiasfactcheck.com/global-slavery-index/,Global Slavery Index,least_biased,high,Australia
globegazette.com,https://mediabiasfactcheck.com/globe-gazette-iowa/,Globe Gazette (Iowa),least_biased,high,USA
greatfallstribune.com,https://mediabiasfactcheck.com/great-falls-tribune/,Great Falls Tribune,least_biased,high,USA
hanfordsentinel.com,https://mediabiasfactcheck.com/hanford-sentinel-bias-rating/,Hanford Sentinel,least_biased,high,USA
hbr.org,https://mediabiasfactcheck.com/harvard-business-review/,Harvard Business Review,least_biased,high,USA
i24news.tv,https://mediabiasfactcheck.com/i24-news/,I24 News,least_biased,high,Israel
icitizen.com,https://mediabiasfactcheck.com/icitizen/,ICitizen,least_biased,high,USA
imediaethics.org,https://mediabiasfactcheck.com/imediaethics/,iMediaEthics,least_biased,high,USA
dailybulletin.com,https://mediabiasfactcheck.com/inland-valley-daily-bulletin/,Inland Valley Daily Bulletin,least_biased,high,USA
investopedia.com,https://mediabiasfactcheck.com/investopedia/,Investopedia,least_biased,high,USA
japantimes.co.jp,https://mediabiasfactcheck.com/japan-times/,Japan Times,least_biased,high,Japan
jta.org,https://mediabiasfactcheck.com/jewish-telegraphic-agency-jta/,Jewish Telegraphic Agency (JTA),least_biased,high,USA
journalgazette.net,https://mediabiasfactcheck.com/journal-gazette-times-courier/,Journal Gazette,least_biased,high,USA
justicedenied.org,https://mediabiasfactcheck.com/justice-denied/,Justice Denied,least_biased,high,USA
kff.org,https://mediabiasfactcheck.com/kaiser-family-foundation/,Kaiser Family Foundation,least_biased,high,USA
knowherenews.com,https://mediabiasfactcheck.com/knowhere/,Knowhere,least_biased,high,USA
ktla.com,https://mediabiasfactcheck.com/ktla/,KTLA,least_biased,high,USA
ledevoir.com,https://mediabiasfactcheck.com/le-devoir/,Le Devoir,least_biased,high,Canada
lcsun-news.com,https://mediabiasfactcheck.com/las-cruces-sun-news/,Las Cruces Sun-News,least_biased,high,USA
mentalfloss.com,https://mediabiasfactcheck.com/mental-floss/,Mental Floss,least_biased,high,USA
metrowestdailynews.com,https://mediabiasfactcheck.com/metrowest-daily-news/,MetroWest Daily News,least_biased,high,USA
nationmaster.com,https://mediabiasfactcheck.com/nationmaster/,NationMaster,least_biased,high,None
cheddar.com,https://mediabiasfactcheck.com/need-2-know/,Need 2 Know,least_biased,high,None
nzherald.co.nz,https://mediabiasfactcheck.com/new-zealand-herald/,New Zealand Herald,least_biased,high,New Zealand
newsandnews.com,https://mediabiasfactcheck.com/news-and-news/,News and News,least_biased,high,USA
newsguardtech.com,https://mediabiasfactcheck.com/newsguard/,Newsguard,least_biased,high,USA
yournewsnet.com,https://mediabiasfactcheck.com/newsnet-yournewsnet-com/,NewsNet (YourNewsNet.com),least_biased,high,USA
norfolkdailynews.com,https://mediabiasfactcheck.com/norfolk-daily-news/,Norfolk Daily News,least_biased,high,USA
oyez.org,https://mediabiasfactcheck.com/oyez-project/,Oyez Project,least_biased,high,None
guampdn.com,https://mediabiasfactcheck.com/pacific-daily-news/,Pacific Daily News,least_biased,high,Guam
patch.com,https://mediabiasfactcheck.com/patch/,Patch,least_biased,high,USA
politicalwire.com,https://mediabiasfactcheck.com/political-wire/,Political Wire,least_biased,high,USA
politifact.com,https://mediabiasfactcheck.com/politifact/,Politifact,least_biased,high,USA
poynter.org,https://mediabiasfactcheck.com/poynter-institute/,Poynter Institute,least_biased,high,USA
procon.org,https://mediabiasfactcheck.com/procon-org/,ProCon.org,least_biased,high,USA
qctimes.com,https://mediabiasfactcheck.com/quad-city-times/,Quad City Times,least_biased,high,USA
rand.org,https://mediabiasfactcheck.com/rand-corporation/,Rand Corporation,least_biased,high,USA
recode.net,https://mediabiasfactcheck.com/recode/,Recode,least_biased,high,USA
sanmarcosrecord.com,https://mediabiasfactcheck.com/san-marcos-daily-record/,San Marcos Daily Record,least_biased,high,USA
santamariatimes.com,https://mediabiasfactcheck.com/santa-maria-times/,Santa Maria Times,least_biased,high,USA
heraldtribune.com,https://mediabiasfactcheck.com/sarasota-herald-tribune/,Sarasota Herald-Tribune,least_biased,high,USA
shreveporttimes.com,https://mediabiasfactcheck.com/shreveport-times/,Shreveport Times,least_biased,high,USA
snopes.com,https://mediabiasfactcheck.com/snopes/,Snopes Bias Rating,least_biased,high,USA
statesville.com,https://mediabiasfactcheck.com/statesville-record-landmark/,Statesville Record & Landmark,least_biased,high,USA
statista.com,https://mediabiasfactcheck.com/statista/,Statista,least_biased,high,Germany
taskandpurpose.com,https://mediabiasfactcheck.com/task-and-purpose/,Task and Purpose,least_biased,high,USA
auburnpub.com,https://mediabiasfactcheck.com/the-auburn-citizen/,The Auburn Citizen,least_biased,high,USA
thebalance.com,https://mediabiasfactcheck.com/the-balance/,The Balance,least_biased,high,USA
newsoptimist.ca,https://mediabiasfactcheck.com/battlefords-news-optimist/,None,least_biased,high,Canada
theconversation.com,https://mediabiasfactcheck.com/the-conversation/,The Conversation,least_biased,high,Australia
daily-chronicle.com,https://mediabiasfactcheck.com/the-daily-chronicle/,The Daily Chronicle,least_biased,high,USA
thediplomat.com,https://mediabiasfactcheck.com/the-diplomat-magazine/,The Diplomat Magazine,least_biased,high,Japan
economist.com,https://mediabiasfactcheck.com/the-economist/,The Economist,least_biased,high,United Kingdom
heraldnews.com,https://mediabiasfactcheck.com/the-herald-news-massachusetts/,The Herald News (Massachusetts),least_biased,high,USA
journalstandard.com,https://mediabiasfactcheck.com/journal-standard/,Journal Standard,least_biased,high,USA
macon.com,https://mediabiasfactcheck.com/the-macon-telegraph/,The Macon Telegraph,least_biased,high,USA
modbee.com,https://mediabiasfactcheck.com/the-modesto-bee/,The Modesto Bee,least_biased,high,USA
therepublic.com,https://mediabiasfactcheck.com/the-republic-indiana/,The Republic (Indiana),least_biased,high,USA
masslive.com,https://mediabiasfactcheck.com/republican-masslive-springfield-bias-rating/,The Republican (Masslive.com),least_biased,high,USA
thetowntalk.com,https://mediabiasfactcheck.com/the-town-talk/,The Town Talk,least_biased,high,USA
vindy.com,https://mediabiasfactcheck.com/the-vindicator/,The Vindicator,least_biased,high,USA
upi.com,https://mediabiasfactcheck.com/united-press-international-upi/,United Press International (UPI),least_biased,high,USA
house.gov,https://mediabiasfactcheck.com/united-states-house-representatives-house-gov/,United States House of Representatives (House.gov),least_biased,high,None
verafiles.org,https://mediabiasfactcheck.com/vera-files/,Vera Files,least_biased,high,Phillipines
voanews.com,https://mediabiasfactcheck.com/voice-of-america/,Voice of America,least_biased,high,USA
wacotrib.com,https://mediabiasfactcheck.com/waco-tribune-herald-bias-credibility-rating/,Waco Tribune-Herald,least_biased,high,USA
wtop.com,https://mediabiasfactcheck.com/washingtons-top-news-wtop/,Washington’s Top News (WTOP),least_biased,high,USA
wikipedia.org,https://mediabiasfactcheck.com/wikipedia/,Wikipedia,least_biased,high,USA
afj.org,https://mediabiasfactcheck.com/alliance-for-justice-afj/,Alliance for Justice (AFJ),left,high,USA
altnews.in,https://mediabiasfactcheck.com/alt-news/,Alt News,left,high,India
americablog.com,https://mediabiasfactcheck.com/americablog/,AmericaBlog,left,high,USA
angrywhitemen.org,https://mediabiasfactcheck.com/angry-white-men/,Angry White Men,left,high,USA
blacklivesmatter.com,https://mediabiasfactcheck.com/black-lives-matter/,Black Lives Matter,left,high,USA
bostonreview.net,https://mediabiasfactcheck.com/boston-review/,Boston Review,left,high,USA
capitalandmain.com,https://mediabiasfactcheck.com/capital-main/,Capital & Main,left,high,USA
prwatch.org,https://mediabiasfactcheck.com/center-for-media-and-democracy/,Center for Media and Democracy (PR Watch),left,high,USA
citizencritics.org,https://mediabiasfactcheck.com/citizen-critics/,Citizen Critics,left,high,USA
commondreams.org,https://mediabiasfactcheck.com/common-dreams/,Common Dreams,left,high,USA
currentaffairs.org,https://mediabiasfactcheck.com/current-affairs-magazine/,Current Affairs Magazine,left,high,USA
thedailybeast.com,https://mediabiasfactcheck.com/daily-beast/,Daily Beast,left,high,USA
dailydot.com,https://mediabiasfactcheck.com/daily-dot/,Daily Dot,left,high,USA
deadstate.org,https://mediabiasfactcheck.com/dead-state/,Dead State,left,high,USA
deadspin.com,https://mediabiasfactcheck.com/deadspin/,Deadspin,left,high,USA
democracynow.org,https://mediabiasfactcheck.com/democracy-now/,Democracy Now,left,high,USA
metrotimes.com,https://mediabiasfactcheck.com/detroit-metro-times/,Detroit Metro Times,left,high,USA
dieharddemocrat.com,https://mediabiasfactcheck.com/die-hard-democrat/,Die Hard Democrat,left,high,None
dissentmagazine.org,https://mediabiasfactcheck.com/dissent-magazine/,Dissent Magazine,left,high,USA
electoral-vote.com,https://mediabiasfactcheck.com/electoral-vote-com/,Electoral-Vote.com,left,high,Netherlands
feministcurrent.com,https://mediabiasfactcheck.com/feminist-current/,Feminist Current,left,high,Canada
gizmodo.com,https://mediabiasfactcheck.com/gizmodo/,Gizmodo,left,high,USA
globalvoices.org,https://mediabiasfactcheck.com/global-voices/,Global Voices,left,high,USA
gq.com,https://mediabiasfactcheck.com/gq-magazine/,GQ Magazine,left,high,USA
bradford-delong.com,https://mediabiasfactcheck.com/grasping-reality-hands-bradford-delong/,Grasping Reality With Both Hands: Bradford DeLong,left,high,USA
gritpost.com,https://mediabiasfactcheck.com/grit-post/,Grit Post,left,high,USA
iowastartingline.com,https://mediabiasfactcheck.com/iowa-starting-line/,Iowa Starting Line,left,high,USA
jacobinmag.com,https://mediabiasfactcheck.com/jacobin/,Jacobin,left,high,USA
jezebel.com,https://mediabiasfactcheck.com/jezebel/,Jezebel,left,high,USA
leftwingnation.org,https://mediabiasfactcheck.com/left-wing-nation/,Left Wing Nation,left,high,None
littlegreenfootballs.com,https://mediabiasfactcheck.com/little-green-footballs/,Little Green Footballs,left,high,USA
mediamatters.org,https://mediabiasfactcheck.com/media-matters/,Media Matters,left,high,USA
meduza.io,https://mediabiasfactcheck.com/meduza/,Meduza,left,high,Latvia
newstatesman.com,https://mediabiasfactcheck.com/new-statesman/,New Statesman,left,high,United Kingdom
nymag.com,https://mediabiasfactcheck.com/new-york-magazine/,New York Magazine,left,high,USA
newyorker.com,https://mediabiasfactcheck.com/new-yorker/,New Yorker,left,high,USA
occupy.com,https://mediabiasfactcheck.com/occupy-com/,Occupy.com,left,high,USA
ourvoiceny.com,https://mediabiasfactcheck.com/our-voice-ny/,Our Voice NY,left,high,None
out.com,https://mediabiasfactcheck.com/out-magazine/,Out Magazine,left,high,USA
people.com,https://mediabiasfactcheck.com/people-magazine/,People Magazine,left,high,USA
popular.info,https://mediabiasfactcheck.com/popular-information/,Popular Information,left,high,USA
rabble.ca,https://mediabiasfactcheck.com/rabble-ca/,Rabble.ca,left,high,Canada
rantt.com,https://mediabiasfactcheck.com/rantt-media/,Rantt Media,left,high,USA
reverepress.com,https://mediabiasfactcheck.com/revere-press/,Revere Press,left,high,None
rewire.news,https://mediabiasfactcheck.com/rewire/,Rewire.news,left,high,USA
salon.com,https://mediabiasfactcheck.com/salon/,Salon,left,high,USA
slate.com,https://mediabiasfactcheck.com/slate/,Slate,left,high,USA
readsludge.com,https://mediabiasfactcheck.com/sludge/,Sludge,left,high,USA
socialistworker.org,https://mediabiasfactcheck.com/socialistworker-org/,SocialistWorker.org,left,high,USA
advocate.com,https://mediabiasfactcheck.com/advocate/,The Advocate,left,high,USA
prospect.org,https://mediabiasfactcheck.com/the-american-prospect/,The American Prospect,left,high,USA
thecanary.co,https://mediabiasfactcheck.com/the-canary-uk/,The Canary (UK),left,high,United Kingdom
daily49er.com,https://mediabiasfactcheck.com/daily-49er/,Daily 49er,left,high,USA
indypendent.org,https://mediabiasfactcheck.com/the-indypendent/,The Indypendent,left,high,USA
thenation.com,https://mediabiasfactcheck.com/the-nation/,The Nation,left,high,USA
palestinechronicle.com,https://mediabiasfactcheck.com/the-palestine-chronicle/,The Palestine Chronicle,left,high,USA
progressive.org,https://mediabiasfactcheck.com/the-progressive/,The Progressive,left,high,USA
theroot.com,https://mediabiasfactcheck.com/the-root/,The Root,left,high,USA
thewalrus.ca,https://mediabiasfactcheck.com/the-walrus/,The Walrus,left,high,Canada
them.us,https://mediabiasfactcheck.com/them-us/,Them.us,left,high,United States
truthdig.com,https://mediabiasfactcheck.com/truthdig/,Truthdig,left,high,USA
upworthy.com,https://mediabiasfactcheck.com/upworthy/,Upworthy,left,high,USA
washingtonian.com,https://mediabiasfactcheck.com/washingtonian-bias-credibility-rating/,Washingtonian,left,high,USA
whatmattersnews.com,https://mediabiasfactcheck.com/what-matters-news/,What Matters News,left,high,None
yesmagazine.org,https://mediabiasfactcheck.com/yes-magazine/,Yes Magazine,left,high,USA
zcomm.org,https://mediabiasfactcheck.com/z-magazine/,Z Magazine,left,high,USA
972mag.com,https://mediabiasfactcheck.com/972-magazine/,+972 Magazine,left_center,high,Israel
abc11.com,https://mediabiasfactcheck.com/abc11-eyewitness-news/,ABC11 Eyewitness News,left_center,high,USA
guttmacher.org,https://mediabiasfactcheck.com/alan-guttmacher-institute/,Alan Guttmacher Institute,left_center,high,USA
annistonstar.com,https://mediabiasfactcheck.com/anniston-star/,Anniston Star,left_center,high,USA
adl.org,https://mediabiasfactcheck.com/anti-defamation-league/,Anti-Defamation League (ADL),left_center,high,USA
apmreports.org,https://mediabiasfactcheck.com/apm-reports/,APM Reports,left_center,high,USA
areomagazine.com,https://mediabiasfactcheck.com/areo-magazine/,Areo Magazine,left_center,high,United Kingdom
arktimes.com,https://mediabiasfactcheck.com/arkansas-times/,Arkansas Times,left_center,high,USA
armscontrol.org,https://mediabiasfactcheck.com/arms-control-association/,Arms Control Association,left_center,high,USA
asiancorrespondent.com,https://mediabiasfactcheck.com/asian-correspondent/,Asian Correspondent,left_center,high,United Kingdom
ajc.com,https://mediabiasfactcheck.com/atlanta-journal-constitution/,Atlanta Journal-Constitution,left_center,high,USA
theatlantic.com,https://mediabiasfactcheck.com/the-atlantic/,The Atlantic,left_center,high,USA
axios.com,https://mediabiasfactcheck.com/axios/,Axios,left_center,high,USA
balkaninsight.com,https://mediabiasfactcheck.com/balkan-insight/,Balkan Insight,left_center,high,United Kingdom
bangordailynews.com,https://mediabiasfactcheck.com/bangor-daily-news/,Bangor Daily News,left_center,high,USA
battlecreekenquirer.com,https://mediabiasfactcheck.com/battle-creek-enquirer/,Battle Creek Enquirer,left_center,high,USA
bbc.com,https://mediabiasfactcheck.com/bbc/,BBC,left_center,high,United Kingdom
berkeleyside.com,https://mediabiasfactcheck.com/berkeleyside/,Berkeleyside,left_center,high,USA
bing.com,https://mediabiasfactcheck.com/bing-news/,Bing News,left_center,high,USA
bostonglobe.com,https://mediabiasfactcheck.com/boston-globe/,Boston Globe,left_center,high,USA
bramptonguardian.com,https://mediabiasfactcheck.com/brampton-guardian/,Brampton Guardian,left_center,high,Canada
brennancenter.org,https://mediabiasfactcheck.com/brennan-center-for-justice/,Brennan Center for Justice,left_center,high,USA
businessinsider.com,https://mediabiasfactcheck.com/business-insider/,Business Insider,left_center,high,USA
capitalgazette.com,https://mediabiasfactcheck.com/capital-gazette/,Capital Gazette,left_center,high,USA
cbc.ca,https://mediabiasfactcheck.com/cbc-news-canadian-broadcasting/,CBC News (Canadian Broadcasting),left_center,high,Canada
cbsnews.com,https://mediabiasfactcheck.com/cbs-news/,CBS News,left_center,high,USA
internationalpolicy.org,https://mediabiasfactcheck.com/center-for-international-policy/,Center for International Policy,left_center,high,USA
focustaiwan.tw,https://mediabiasfactcheck.com/central-news-agency-cna-focus-taiwan/,Central News Agency (CNA) / Focus Taiwan,left_center,high,Taiwan
channel4.com,https://mediabiasfactcheck.com/channel-4-news-uk/,Channel 4 News (UK),left_center,high,United Kingdom
chicago.suntimes.com,https://mediabiasfactcheck.com/chicago-sun-times/,Chicago Sun-Times,left_center,high,USA
citizentruth.org,https://mediabiasfactcheck.com/citizen-truth/,Citizen Truth,left_center,high,USA
cnbc.com,https://mediabiasfactcheck.com/cnbc/,CNBC,left_center,high,USA
cjr.org,https://mediabiasfactcheck.com/columbia-journalism-review/,Columbia Journalism Review,left_center,high,USA
investigaterussia.org,https://mediabiasfactcheck.com/committee-investigate-russia/,Committee to Investigate Russia,left_center,high,USA
commonwealthfund.org,https://mediabiasfactcheck.com/commonwealth-fund/,Commonwealth Fund,left_center,high,USA
ctpost.com,https://mediabiasfactcheck.com/connecticut-post/,Connecticut Post,left_center,high,USA
caller.com,https://mediabiasfactcheck.com/corpus-christi-caller-times/,Corpus Christi Caller-Times,left_center,high,USA
ctmirror.org,https://mediabiasfactcheck.com/ct-mirror/,CT Mirror,left_center,high,USA
gazettenet.com,https://mediabiasfactcheck.com/daily-hampshire-gazette/,Daily Hampshire Gazette,left_center,high,USA
dawn.com,https://mediabiasfactcheck.com/dawn/,Dawn,left_center,high,Pakistan
dcreport.org,https://mediabiasfactcheck.com/dcreport-org/,DCReport.org,left_center,high,USA
deadline.com,https://mediabiasfactcheck.com/deadline-hollywood/,Deadline Hollywood,left_center,high,USA
democratandchronicle.com,https://mediabiasfactcheck.com/democrat-and-chronicle/,Democrat and Chronicle,left_center,high,USA
denverpost.com,https://mediabiasfactcheck.com/denver-post/,Denver Post,left_center,high,USA
westword.com,https://mediabiasfactcheck.com/denver-westword/,Denver Westword,left_center,high,USA
dw.com,https://mediabiasfactcheck.com/dw-news/,DW News,left_center,high,Germany
econofact.org,https://mediabiasfactcheck.com/econofact/,Econofact,left_center,high,USA
epi.org,https://mediabiasfactcheck.com/economic-policy-institute/,Economic Policy Institute,left_center,high,USA
ew.com,https://mediabiasfactcheck.com/entertainment-weekly/,Entertainment Weekly,left_center,high,USA
factmyth.com,https://mediabiasfactcheck.com/factmyth/,Fact / Myth,left_center,high,USA
fair.org,https://mediabiasfactcheck.com/fairness-accuracy-in-reporting-fair/,Fairness & Accuracy in Reporting (FAIR),left_center,high,USA
fairvote.org,https://mediabiasfactcheck.com/fairvote/,FairVote,left_center,high,USA
fastcompany.com,https://mediabiasfactcheck.com/fast-company-magazine/,Fast Company Magazine,left_center,high,USA
fivethirtyeight.com,https://mediabiasfactcheck.com/fivethirtyeight/,FiveThirtyEight,left_center,high,USA
fpif.org,https://mediabiasfactcheck.com/foreign-policy-focus/,Foreign Policy in Focus,left_center,high,USA
francetvinfo.fr,https://mediabiasfactcheck.com/france-info/,None,left_center,high,France
fusion.tv,https://mediabiasfactcheck.com/fusion/,Fusion,left_center,high,USA
globalcitizen.org,https://mediabiasfactcheck.com/global-citizen/,Global Citizen,left_center,high,USA
globalnews.ca,https://mediabiasfactcheck.com/global-news/,Global News,left_center,high,Canada
news.google.com,https://mediabiasfactcheck.com/google-news/,Google News,left_center,high,USA
gothamist.com,https://mediabiasfactcheck.com/gothamist/,Gothamist,left_center,high,USA
whistleblower.org,https://mediabiasfactcheck.com/government-accountability-project-gap/,Government Accountability Project (GAP),left_center,high,USA
greensboro.com,https://mediabiasfactcheck.com/greensboro-news-and-record/,Greensboro News and Record,left_center,high,USA
gunviolencearchive.org,https://mediabiasfactcheck.com/gun-violence-archive/,Gun Violence Archive,left_center,high,USA
harpers.org,https://mediabiasfactcheck.com/harpers/,Harper’s Magazine,left_center,high,USA
courant.com,https://mediabiasfactcheck.com/the-hartford-courant/,The Hartford Courant,left_center,high,USA
heavy.com,https://mediabiasfactcheck.com/heavy/,Heavy,left_center,high,USA
civilbeat.org,https://mediabiasfactcheck.com/honolulu-civil-beat/,Honolulu Civil Beat,left_center,high,USA
staradvertiser.com,https://mediabiasfactcheck.com/honolulu-star-advertiser/,Honolulu Star-Advertiser,left_center,high,USA
ifamericaknew.org,https://mediabiasfactcheck.com/if-america-knew/,If Americans Knew,left_center,high,USA
infobae.com,https://mediabiasfactcheck.com/infobae/,None,left_center,high,Argentina
insideedition.com,https://mediabiasfactcheck.com/inside-edition/,Inside Edition,left_center,high,USA
icrw.org,https://mediabiasfactcheck.com/international-center-for-research-on-women/,International Center for Research on Women,left_center,high,USA
interpretermag.com,https://mediabiasfactcheck.com/the-interpreter-magazine/,(The) Interpreter Magazine,left_center,high,USA
jacksonfreepress.com,https://mediabiasfactcheck.com/jackson-free-press/,Jackson Free Press,left_center,high,USA
helvidius.org,https://mediabiasfactcheck.com/journal-of-politics-and-society/,Journal of Politics and Society,left_center,high,None
kansascity.com,https://mediabiasfactcheck.com/kansas-city-star/,Kansas City Star,left_center,high,USA
kuow.org,https://mediabiasfactcheck.com/kuow-npr/,KUOW NPR,left_center,high,USA
lapresse.ca,https://mediabiasfactcheck.com/la-presse/,La Presse,left_center,high,Canada
latimes.com,https://mediabiasfactcheck.com/la-times-los-angeles-times/,LA Times (Los Angeles Times),left_center,high,USA
mexiconewsdaily.com,https://mediabiasfactcheck.com/mexico-daily-news/,Mexico Daily News,left_center,high,Mexico
migrationpolicy.org,https://mediabiasfactcheck.com/migration-policy-institute/,Migration Policy Institute,left_center,high,USA
msn.com,https://mediabiasfactcheck.com/msn-com/,MSN.com (MSN News),left_center,high,USA
resourcegovernance.org,https://mediabiasfactcheck.com/natural-resource-governance-institute/,Natural Resource Governance Institute,left_center,high,USA
nbcnews.com,https://mediabiasfactcheck.com/nbc-news/,NBC News,left_center,high,USA
nbcnewyork.com,https://mediabiasfactcheck.com/nbcnewyork-com/,NBCNewYork.com,left_center,high,USA
nytimes.com,https://mediabiasfactcheck.com/new-york-times/,New York Times,left_center,high,USA
newsday.com,https://mediabiasfactcheck.com/newsday/,Newsday,left_center,high,USA
newsy.com,https://mediabiasfactcheck.com/newsy/,Newsy,left_center,high,USA
opendemocracy.net,https://mediabiasfactcheck.com/opendemocracy/,openDemocracy,left_center,high,United Kingdom
ourworldindata.org,https://mediabiasfactcheck.com/our-world-in-data/,Our World In Data,left_center,high,United Kingdom
psmag.com,https://mediabiasfactcheck.com/pacific-standard-magazine/,Pacific Standard Magazine,left_center,high,USA
palmbeachdailynews.com,https://mediabiasfactcheck.com/palm-beach-daily-news/,Palm Beach Daily News,left_center,high,USA
inquirer.com,https://mediabiasfactcheck.com/philadelphia-inquirer/,Philadelphia Inquirer,left_center,high,USA
phoenixnewtimes.com,https://mediabiasfactcheck.com/phoenix-new-times/,Phoenix New Times,left_center,high,USA
polygon.com,https://mediabiasfactcheck.com/polygon/,Polygon,left_center,high,USA
propublica.org,https://mediabiasfactcheck.com/propublica/,Propublica,left_center,high,USA
citizen.org,https://mediabiasfactcheck.com/public-citizen/,Public Citizen,left_center,high,USA
newsobserver.com,https://mediabiasfactcheck.com/raleigh-news-observer/,Raleigh News and Observer,left_center,high,USA
revealnews.org,https://mediabiasfactcheck.com/reveal-center-for-investigative-reporting/,Reveal – Center for Investigative Reporting,left_center,high,USA
rooseveltinstitute.org,https://mediabiasfactcheck.com/roosevelt-institute/,Roosevelt Institute,left_center,high,USA
